index,concepts
227,1718.0
228,30.7
229,116.0
230,2.53
231,2334.0
232,1450.0
233,860.0
234,18.0
235,1865.0
236,0.4
237,2275.0
238,503.0
239,0.5
240,3.8
241,1473.0
242,3305.0
243,2878.0
244,5.1
245,2862.0
246,8.6
247,29.6
248,3384.0
249,7.2
250,27.4
251,1184.0
252,1436.0
253,2654.0
254,2854.0
255,221.0
256,3371.0
257,2688.0
258,1438.0
259,2307.0
260,92.0
261,1545.0
262,89.0
263,0.893
264,2336.0
265,995.0
266,2288.0
267,25.8
268,2299.0
269,4.0
270,274.0
271,1458.0
272,2708.0
273,206.0
274,1569.0
275,2704.0
276,1092.0
277,25.5
278,0.45
279,4.5
280,2137.0947647448643
281,3373.0
282,7.5
283,1624.0
284,2676.0
285,3.0
286,2423.0
287,1403.0
288,2335.0
289,4.7
290,44.0
291,5.175
292,212.0
293,2168.0
294,1.78
295,3460.0
296,3186.0
297,29.9
298,3360.0
299,1625.0
300,1.9
301,2050.0
302,23.67
303,1151.0
304,32.0
305,1207.0
306,0.44
307,1399.0
308,126.0
309,0.447
310,6.9
311,1571.0
312,3181.0
313,938.0
314,1328.0
315,24.6
316,1643.0
317,0.65
318,2306.0
319,1.412
320,14.013
321,3350.0
322,1703.0
323,17.5
324,3027.0
325,1516.0
326,286.0
327,23.7
328,2444.0
329,3187.0
330,319.0
331,527.0
332,2670.0
333,5.9
334,308.0
335,1871.0
336,2686.0
337,1.5
338,565.0
339,2874.0
340,2424.0
341,24.4
342,122.0
343,1088.0
344,46.0
345,1094.0
346,1.2
347,2671.0
348,52.0
349,1424.0
350,29.8
351,868.0
352,305.0
353,2295.0
354,2305.0
355,28.8
356,1168.0
357,19.8
358,6.925
359,3359.0
360,0.48
361,0.345
362,1330.0
363,0.58
364,2947.0
365,188.0
366,5414.0
367,2298.0
368,50.0
369,15.0
370,3364.0
371,17.9
372,1726.0
373,21.0
374,2.3
375,363.0
376,1926.0
377,28.3
378,6.5
379,2462.0
380,2.61
381,77.0
382,1186.0
383,269.0
384,3353.0
385,2465.0
386,3.67
387,3354.0
388,20.6
389,0.56
390,0.383
391,2274.0
392,29.5
393,1295.0
394,3362.0
395,18.5
396,26.8
397,220.0
398,1315.0
399,1155.0
400,1416.0
401,1025.0
402,450.0
403,24.5
404,3377.0
405,3379.0
406,2292.0
407,66.0
408,59.0
409,1862.0
410,2520.0
411,3465.0
412,0.66
413,182.0
414,2338.0
415,0.13
416,161.0
417,210.0
418,3080.0
419,5.8
420,2905.0
421,5.3
422,6.18
423,17.0
424,3185.0
425,0.153
426,3369.0
427,18.3
428,2270.0
429,0.3
430,1717.0
431,138.0
432,27.5
433,3376.0
434,4.56
435,2.8
436,2326.0
437,1400.0
438,2714.0
439,3368.0
440,51.0
441,0.309
442,14369.0
443,0.43
444,813.0
445,3.34
446,535.0
447,2856.0
448,5.7
449,2425.0
450,3023.0
451,2577.0
452,4.77
453,25.71
454,2707.0
455,6.4
456,2427.0
457,1564.0
458,24.8
459,2712.0
460,293.0
461,28.5
462,265.0
463,1154.0
464,2.99
465,2301.0
466,28.7
467,0.36
468,2696.0
469,0.21
470,28.2
471,31.0
472,3182.0
473,0.08
474,3.33
475,779.0
476,389.0
477,135.0
478,6.333
479,69.0
480,2302.0
481,8.23
482,615.0
483,1546.0
484,2869.0
485,8.7
486,2873.0
487,2853.0
488,252.0
489,75.0
490,61.0
491,1.7
492,20.5
493,0.05
494,4.8
495,3381.0
496,7.6
497,2303.0
498,1566.0
499,95.0
500,12150.0
501,1162.0
502,3464.0
503,2198.0
504,338.0
505,6.733
506,111.0
507,25950.0
508,146.0
509,6.27
510,2852.0
511,250.0
512,164.0
513,26.5
514,5.533
515,19595.0
516,159.0
517,7.8
518,16.0
519,112.0
520,0.09
521,3.56
522,132.0
523,0.343
524,3.6
525,2284.0
526,2445.0
527,0.72
528,1632.0
529,312.0
530,3184.0
531,0.34
532,2865.0
533,8.2
534,910.0
535,101.0
536,0.78
537,2713.0
538,204.0
539,71.0
540,2082.0
541,0.24
542,2.21
543,0.15
544,2276.0
545,0.32
546,26.9
547,2285.0
548,42.0
549,7.075
550,1704.0
551,177.0
552,1.07
553,151.0
554,1500.0
555,1.367
556,3365.0
557,3.1
558,0.7
559,1567.0
560,0.42
561,541.0
562,2859.0
563,2337.0
564,2.9
565,603.0
566,375.0
567,1476.0
568,49.0
569,0.89
570,2297.0
571,56.0
572,3189.0
573,0.54
574,1039.0
575,2.66
576,18.9
577,2293.0
578,1284.0
579,166.0
580,1860.0
581,5656.0
582,3.23
583,125.0
584,749.0
585,0.53
586,2294.0
587,0.25
588,0.1
589,2199.0
590,9590.0
591,1626.0
592,4.4
593,2463.0
594,8.0
595,20455.0
596,201.0
597,0.57
598,5.2
